-12,-20,-18,-16,-14,-2,-10,-8,-6,-4
-10,-12,-14,-16,-18,-2,-4,-6,-20,-8
16,14,12,20,18,6,4,2,10,8
16,14,12,20,18,6,4,2,8,10
10,12,14,18,16,2,4,6,20,8
-14,-16,-18,-12,-20,-8,-6,-2,-4,-10
14,12,10,16,18,4,2,6,20,8
10,12,14,18,16,2,4,20,8,6
12,14,16,20,18,6,2,4,8,10
14,12,10,20,18,4,2,6,8,16
-14,-12,-18,-20,-16,-4,-2,-10,-8,-6
-12,-14,-8,-20,-18,-16,-2,-4,-10,-6
-16,-14,-10,-20,-6,-18,-4,-2,-12,-8
-12,-14,-18,-20,-6,-16,-2,-4,-10,-8
12,8,18,20,16,14,2,10,4,6
-14,-12,-18,-16,-4,-20,-2,-8,-6,-10
12,14,20,16,18,6,2,4,8,10
-16,-14,-18,-10,-20,-6,-4,-2,-12,-8
-12,-10,-16,-18,-20,-2,-8,-4,-6,-14
-6,-8,-14,-2,-20,-18,-16,-4,-12,-10
12,14,16,20,18,2,10,4,6,8
-14,-16,-12,-18,-20,-6,-4,-2,-10,-8
-10,-12,-14,-20,-18,-2,-16,-6,-4,-8
-10,-8,-12,-16,-2,-4,-20,-18,-6,-14
-14,-16,-12,-18,-20,-8,-4,-2,-6,-10
-12,-10,-14,-16,-18,-2,-4,-20,-8,-6
4,12,18,14,16,2,20,8,6,10
-8,-16,-14,-10,-2,-20,-18,-4,-6,-12
-10,-16,-18,-12,-2,-8,-20,-6,-4,-14
-12,-14,-20,-10,-16,-18,-4,-2,-8,-6
8,6,16,2,14,18,20,4,12,10
-8,-10,-16,-12,-2,-20,-18,-4,-14,-6
14,12,20,16,18,6,2,4,10,8
-12,-6,-20,-18,-16,-14,-2,-10,-8,-4
14,20,18,12,16,8,2,10,6,4
10,8,14,4,2,16,18,6,20,12
8,6,12,2,16,4,20,18,10,14
-14,-8,-18,-4,-20,-16,-2,-12,-10,-6
-10,-12,-16,-20,-6,-2,-18,-4,-14,-8
6,12,2,16,14,20,4,18,8,10
14,20,12,16,6,18,2,8,10,4
8,12,20,18,14,4,10,2,6,16
-18,-14,-12,-4,-20,-16,-6,-2,-10,-8
4,14,12,18,16,8,20,2,10,6
-14,-16,-2,-20,-18,-8,-6,-4,-10,-12
12,16,18,20,14,2,8,10,4,6
14,16,18,12,6,20,8,2,4,10
16,18,12,14,4,20,6,8,2,10
14,16,10,18,4,8,20,2,12,6
-16,-14,-18,-12,-20,-6,-8,-2,-4,-10
16,14,10,18,4,8,20,2,6,12
-14,-16,-20,-12,-18,-6,-8,-4,-2,-10
-16,-14,-10,-20,-12,-6,-18,-2,-4,-8
-6,-8,-18,-2,-16,-14,-20,-10,-4,-12
-6,-18,-12,-20,-14,-4,-10,-8,-2,-16
6,8,16,2,14,18,10,20,4,12
-6,-16,-2,-12,-18,-14,-8,-20,-4,-10
-6,-16,-10,-20,-12,-4,-8,-18,-2,-14
-6,-18,-2,-14,-16,-8,-20,-10,-4,-12
-6,-8,-14,-10,-2,-16,-18,-4,-20,-12
-14,-12,-18,-20,-16,-4,-2,-8,-10,-6
14,16,12,18,20,4,10,2,6,8
4,16,8,14,20,18,6,2,12,10
-12,-14,-18,-20,-16,-4,-2,-8,-10,-6
-12,-10,-18,-14,-16,-2,-4,-8,-20,-6
8,10,18,14,2,20,6,12,4,16
14,18,16,10,20,6,2,12,4,8
14,12,16,20,18,8,2,6,4,10
12,16,8,20,18,2,10,4,14,6
6,8,12,2,18,14,4,20,10,16
